Report file after 168000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 1: @[\u_and_G0_9_d1/N2(1)] ==> [\share0_in[41](1), \share1_in[9](1), \rand_bit_share0[3](1)] -log10(p) = 2.47598 --> OKAY
Cycle 2: @[\u_and_G0_9_d1/N2(2)] ==> [\share0_in[41](2), \share1_in[9](2), \rand_bit_share0[3](2), \share0_in[41](1), \share1_in[9](1), \rand_bit_share0[3](1)] -log10(p) = 2.47598 --> OKAY
Cycle 3: @[\u_and_G0_9_d1/N2(3)] ==> [\share0_in[41](3), \share1_in[9](3), \rand_bit_share0[3](3), \share0_in[41](2), \share1_in[9](2), \rand_bit_share0[3](2)] -log10(p) = 2.47598 --> OKAY
Cycle 4: @[\u_and_G0_9_d1/N2(4)] ==> [\share0_in[41](4), \share1_in[9](4), \rand_bit_share0[3](4), \share0_in[41](3), \share1_in[9](3), \rand_bit_share0[3](3)] -log10(p) = 2.47598 --> OKAY
Cycle 5: @[\u_and_G0_9_d1/N2(5)] ==> [\share0_in[41](5), \share1_in[9](5), \rand_bit_share0[3](5), \share0_in[41](4), \share1_in[9](4), \rand_bit_share0[3](4)] -log10(p) = 2.47598 --> OKAY
Cycle 6: @[\u_and_G0_9_d1/N2(6)] ==> [\share0_in[41](6), \share1_in[9](6), \rand_bit_share0[3](6), \share0_in[41](5), \share1_in[9](5), \rand_bit_share0[3](5)] -log10(p) = 2.47598 --> OKAY
Cycle 7: @[\u_and_G0_9_d1/N2(7)] ==> [\share0_in[41](7), \share1_in[9](7), \rand_bit_share0[3](7), \share0_in[41](6), \share1_in[9](6), \rand_bit_share0[3](6)] -log10(p) = 2.47598 --> OKAY
Cycle 8: @[\u_and_G0_9_d1/N2(8)] ==> [\share0_in[41](8), \share1_in[9](8), \rand_bit_share0[3](8), \share0_in[41](7), \share1_in[9](7), \rand_bit_share0[3](7)] -log10(p) = 2.47598 --> OKAY
Cycle 9: @[\u_and_G0_9_d1/N2(9)] ==> [\share0_in[41](9), \share1_in[9](9), \rand_bit_share0[3](9), \share0_in[41](8), \share1_in[9](8), \rand_bit_share0[3](8)] -log10(p) = 2.47598 --> OKAY
Cycle 10: @[\u_and_G0_9_d1/N2(10)] ==> [\share0_in[41](10), \share1_in[9](10), \rand_bit_share0[3](10), \share0_in[41](9), \share1_in[9](9), \rand_bit_share0[3](9)] -log10(p) = 2.47598 --> OKAY
Cycle 11: @[\u_and_G0_9_d1/N2(11)] ==> [\share0_in[41](11), \share1_in[9](11), \rand_bit_share0[3](11), \share0_in[41](10), \share1_in[9](10), \rand_bit_share0[3](10)] -log10(p) = 2.47598 --> OKAY
Cycle 12: @[\u_and_G0_9_d1/N2(12)] ==> [\share0_in[41](12), \share1_in[9](12), \rand_bit_share0[3](12), \share0_in[41](11), \share1_in[9](11), \rand_bit_share0[3](11)] -log10(p) = 2.47598 --> OKAY
Cycle 13: @[\u_and_G0_9_d1/N2(13)] ==> [\share0_in[41](13), \share1_in[9](13), \rand_bit_share0[3](13), \share0_in[41](12), \share1_in[9](12), \rand_bit_share0[3](12)] -log10(p) = 2.47598 --> OKAY
Cycle 14: @[\u_and_G0_9_d1/N2(14)] ==> [\share0_in[41](14), \share1_in[9](14), \rand_bit_share0[3](14), \share0_in[41](13), \share1_in[9](13), \rand_bit_share0[3](13)] -log10(p) = 2.47598 --> OKAY
Cycle 15: @[\u_and_G0_9_d1/N2(15)] ==> [\share0_in[41](15), \share1_in[9](15), \rand_bit_share0[3](15), \share0_in[41](14), \share1_in[9](14), \rand_bit_share0[3](14)] -log10(p) = 2.47598 --> OKAY
Cycle 16: @[\u_and_G0_9_d1/N2(16)] ==> [\share0_in[41](16), \share1_in[9](16), \rand_bit_share0[3](16), \share0_in[41](15), \share1_in[9](15), \rand_bit_share0[3](15)] -log10(p) = 2.47598 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[\u_and_G0_9_d1/N2(1)] ==> [\share0_in[41](1), \share1_in[9](1), \rand_bit_share0[3](1)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(2)] ==> [\share0_in[41](2), \share1_in[9](2), \rand_bit_share0[3](2), \share0_in[41](1), \share1_in[9](1), \rand_bit_share0[3](1)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(3)] ==> [\share0_in[41](3), \share1_in[9](3), \rand_bit_share0[3](3), \share0_in[41](2), \share1_in[9](2), \rand_bit_share0[3](2)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(4)] ==> [\share0_in[41](4), \share1_in[9](4), \rand_bit_share0[3](4), \share0_in[41](3), \share1_in[9](3), \rand_bit_share0[3](3)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(5)] ==> [\share0_in[41](5), \share1_in[9](5), \rand_bit_share0[3](5), \share0_in[41](4), \share1_in[9](4), \rand_bit_share0[3](4)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(6)] ==> [\share0_in[41](6), \share1_in[9](6), \rand_bit_share0[3](6), \share0_in[41](5), \share1_in[9](5), \rand_bit_share0[3](5)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(7)] ==> [\share0_in[41](7), \share1_in[9](7), \rand_bit_share0[3](7), \share0_in[41](6), \share1_in[9](6), \rand_bit_share0[3](6)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(8)] ==> [\share0_in[41](8), \share1_in[9](8), \rand_bit_share0[3](8), \share0_in[41](7), \share1_in[9](7), \rand_bit_share0[3](7)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(9)] ==> [\share0_in[41](9), \share1_in[9](9), \rand_bit_share0[3](9), \share0_in[41](8), \share1_in[9](8), \rand_bit_share0[3](8)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(10)] ==> [\share0_in[41](10), \share1_in[9](10), \rand_bit_share0[3](10), \share0_in[41](9), \share1_in[9](9), \rand_bit_share0[3](9)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(11)] ==> [\share0_in[41](11), \share1_in[9](11), \rand_bit_share0[3](11), \share0_in[41](10), \share1_in[9](10), \rand_bit_share0[3](10)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(12)] ==> [\share0_in[41](12), \share1_in[9](12), \rand_bit_share0[3](12), \share0_in[41](11), \share1_in[9](11), \rand_bit_share0[3](11)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(13)] ==> [\share0_in[41](13), \share1_in[9](13), \rand_bit_share0[3](13), \share0_in[41](12), \share1_in[9](12), \rand_bit_share0[3](12)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(14)] ==> [\share0_in[41](14), \share1_in[9](14), \rand_bit_share0[3](14), \share0_in[41](13), \share1_in[9](13), \rand_bit_share0[3](13)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(15)] ==> [\share0_in[41](15), \share1_in[9](15), \rand_bit_share0[3](15), \share0_in[41](14), \share1_in[9](14), \rand_bit_share0[3](14)] -log10(p) = 2.47598 --> OKAY
@[\u_and_G0_9_d1/N2(16)] ==> [\share0_in[41](16), \share1_in[9](16), \rand_bit_share0[3](16), \share0_in[41](15), \share1_in[9](15), \rand_bit_share0[3](15)] -log10(p) = 2.47598 --> OKAY
@[d1_P0_10_s1(2)] ==> [d1_P0_10_s1(2), d1_P0_10_s1(1)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(3)] ==> [d1_P0_10_s1(3), d1_P0_10_s1(2)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(3)] ==> [d2_P0_10_s1(3), d2_P0_10_s1(2)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(4)] ==> [d1_P0_10_s1(4), d1_P0_10_s1(3)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(4)] ==> [d2_P0_10_s1(4), d2_P0_10_s1(3)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(4)] ==> [d3_P0_10_s1(4), d3_P0_10_s1(3)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(5)] ==> [d1_P0_10_s1(5), d1_P0_10_s1(4)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(5)] ==> [d2_P0_10_s1(5), d2_P0_10_s1(4)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(5)] ==> [d3_P0_10_s1(5), d3_P0_10_s1(4)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(5)] ==> [d4_P0_10_s1(5), d4_P0_10_s1(4)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(6)] ==> [d1_P0_10_s1(6), d1_P0_10_s1(5)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(6)] ==> [d2_P0_10_s1(6), d2_P0_10_s1(5)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(6)] ==> [d3_P0_10_s1(6), d3_P0_10_s1(5)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(6)] ==> [d4_P0_10_s1(6), d4_P0_10_s1(5)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(7)] ==> [d1_P0_10_s1(7), d1_P0_10_s1(6)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(7)] ==> [d2_P0_10_s1(7), d2_P0_10_s1(6)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(7)] ==> [d3_P0_10_s1(7), d3_P0_10_s1(6)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(7)] ==> [d4_P0_10_s1(7), d4_P0_10_s1(6)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(8)] ==> [d1_P0_10_s1(8), d1_P0_10_s1(7)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(8)] ==> [d2_P0_10_s1(8), d2_P0_10_s1(7)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(8)] ==> [d3_P0_10_s1(8), d3_P0_10_s1(7)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(8)] ==> [d4_P0_10_s1(8), d4_P0_10_s1(7)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(9)] ==> [d1_P0_10_s1(9), d1_P0_10_s1(8)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(9)] ==> [d2_P0_10_s1(9), d2_P0_10_s1(8)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(9)] ==> [d3_P0_10_s1(9), d3_P0_10_s1(8)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(9)] ==> [d4_P0_10_s1(9), d4_P0_10_s1(8)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(10)] ==> [d1_P0_10_s1(10), d1_P0_10_s1(9)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(10)] ==> [d2_P0_10_s1(10), d2_P0_10_s1(9)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(10)] ==> [d3_P0_10_s1(10), d3_P0_10_s1(9)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(10)] ==> [d4_P0_10_s1(10), d4_P0_10_s1(9)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(11)] ==> [d1_P0_10_s1(11), d1_P0_10_s1(10)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(11)] ==> [d2_P0_10_s1(11), d2_P0_10_s1(10)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(11)] ==> [d3_P0_10_s1(11), d3_P0_10_s1(10)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(11)] ==> [d4_P0_10_s1(11), d4_P0_10_s1(10)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(12)] ==> [d1_P0_10_s1(12), d1_P0_10_s1(11)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(12)] ==> [d2_P0_10_s1(12), d2_P0_10_s1(11)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(12)] ==> [d3_P0_10_s1(12), d3_P0_10_s1(11)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(12)] ==> [d4_P0_10_s1(12), d4_P0_10_s1(11)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(13)] ==> [d1_P0_10_s1(13), d1_P0_10_s1(12)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(13)] ==> [d2_P0_10_s1(13), d2_P0_10_s1(12)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(13)] ==> [d3_P0_10_s1(13), d3_P0_10_s1(12)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(13)] ==> [d4_P0_10_s1(13), d4_P0_10_s1(12)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(14)] ==> [d1_P0_10_s1(14), d1_P0_10_s1(13)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(14)] ==> [d2_P0_10_s1(14), d2_P0_10_s1(13)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(14)] ==> [d3_P0_10_s1(14), d3_P0_10_s1(13)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(14)] ==> [d4_P0_10_s1(14), d4_P0_10_s1(13)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(15)] ==> [d1_P0_10_s1(15), d1_P0_10_s1(14)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(15)] ==> [d2_P0_10_s1(15), d2_P0_10_s1(14)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(15)] ==> [d3_P0_10_s1(15), d3_P0_10_s1(14)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(15)] ==> [d4_P0_10_s1(15), d4_P0_10_s1(14)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_10_s1(16)] ==> [d1_P0_10_s1(16), d1_P0_10_s1(15)] -log10(p) = 2.18964 --> OKAY
@[d2_P0_10_s1(16)] ==> [d2_P0_10_s1(16), d2_P0_10_s1(15)] -log10(p) = 2.18964 --> OKAY
@[d3_P0_10_s1(16)] ==> [d3_P0_10_s1(16), d3_P0_10_s1(15)] -log10(p) = 2.18964 --> OKAY
@[d4_P0_10_s1(16)] ==> [d4_P0_10_s1(16), d4_P0_10_s1(15)] -log10(p) = 2.18964 --> OKAY
@[d1_P0_18_s0(2)] ==> [d1_P0_18_s0(2), d1_P0_18_s0(1)] -log10(p) = 2.16683 --> OKAY
@[d1_P0_18_s0(3)] ==> [d1_P0_18_s0(3), d1_P0_18_s0(2)] -log10(p) = 2.16683 --> OKAY
